,Nombres_completos,ano,codigo_partido,nombre_partido,votos,Nuevo_S,Nuevo_P,EGIVECTOR,DEGREECENTR,CLOSESNES,BETWEENES,SECTORSOCIAL,Educación,Salud,Trabajo,Agricultura,Vivienda,JUSTICIAYSEGURIDAD,Justicia,Defensa,PoliciaNacional,INFRAESTRUCTURA,ObrasPúblicas,MinasyEnergía,Comunicaciones,ADMON.DELESTADOYOTROS,Gobierno,RelacionesExteriores,Hacienda,Desarrollo,CongresoNacional,C.G.R,DepartamentosAdmin.*,Otros**,DEUDAPUBLICA(intereses),GASTOTOTAL,INF,SECTOR_SOCIAL_PER,JUSTICIA_SEGURIDAD_PER,INFRAESTRUCTURA_PER,ADMON_ESTADO_PER,DEUDA_PUBLICA_PER,Prop_S,Prop_P
9010,CARLOS ANDRES AMAYA RODRIGUEZ,2010.0,20090002.0,PARTIDO ALIANZA VERDE,15435.0,1,1,9.350098615878324e-36,0.0265151515151515,0.0265151515151515,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
9275,CARLOS ARTURO CORREA MOJICA,2010.0,20050002.0,PARTIDO SOCIAL DE UNIDAD NACIONAL - PARTIDO DE LA U,27702.0,1,1,0.1148005150828329,0.2803030303030303,0.3737034777303233,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
9540,CARLOS ARTURO QUINTERO MARIN,2010.0,20100071.0,PARTIDO DE INTEGRACION NACIONAL - PIN,60816.0,1,1,5.7697165376128964e-34,0.0303030303030303,0.0303030303030303,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
9805,CARLOS AUGUSTO ROJAS ORTIZ,2010.0,18490002.0,PARTIDO CONSERVADOR COLOMBIANO,27305.0,1,0,0.0005561425646718,0.2159090909090909,0.3256246677299309,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
10070,CARLOS EDUARDO ENRIQUEZ MAYA,2010.0,18490002.0,PARTIDO CONSERVADOR COLOMBIANO,59884.0,1,0,0.0005561425646718,0.2159090909090909,0.3256246677299309,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
10335,CARLOS EDUARDO HERNANDEZ MOGOLLON,2010.0,20050002.0,PARTIDO SOCIAL DE UNIDAD NACIONAL - PARTIDO DE LA U,30558.0,1,1,0.1148005150828329,0.2803030303030303,0.3737034777303233,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
10600,CARLOS EDUARDO LEON CELIS,2010.0,18490002.0,PARTIDO CONSERVADOR COLOMBIANO,29911.0,1,0,0.0005561425646718,0.2159090909090909,0.3256246677299309,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
10865,CARLOS EDWARD OSORIO AGUIAR,2010.0,20050002.0,PARTIDO SOCIAL DE UNIDAD NACIONAL - PARTIDO DE LA U,15451.0,1,1,0.1148005150828329,0.2803030303030303,0.3737034777303233,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
11130,CARLOS EMIRO BARRIGA PEÑARANDA,2010.0,18490002.0,PARTIDO CONSERVADOR COLOMBIANO,42959.0,1,0,0.0006221851089683,0.2196969696969697,0.3623545651745218,0.07888163363386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
11395,CARLOS ENRIQUE SOTO JARAMILLO,2010.0,20050002.0,PARTIDO SOCIAL DE UNIDAD NACIONAL - PARTIDO DE LA U,57529.0,1,1,0.1171080118199221,0.3181818181818182,0.4261363636363636,0.0103255429736414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
